Bus,Bus Type,Bus Cost,Passengers,Battery Cost,Battery Type,Month,Route
1,LE,350000,95,1150 Euro/kWh,HP,October,1
2,LE,350000,95,1150 Euro/kWh,HP,October,1
3,LE,350000,95,1150 Euro/kWh,HP,October,1
4,LE,350000,95,1150 Euro/kWh,HP,October,1
5,LE,350000,95,1150 Euro/kWh,HP,October,1
6,LE,350000,95,1150 Euro/kWh,HP,October,1
7,LE,350000,95,1150 Euro/kWh,HP,October,1
8,LE,350000,95,1150 Euro/kWh,HP,October,1
9,LE,350000,95,1150 Euro/kWh,HP,October,1
1,LE,350000,95,1150 Euro/kWh,HP,October,11
2,LE,350000,95,1150 Euro/kWh,HP,October,11
3,LE,350000,95,1150 Euro/kWh,HP,October,11
4,LE,350000,95,1150 Euro/kWh,HP,October,11
5,LE,350000,95,1150 Euro/kWh,HP,October,11
1,LFA,570000,176,1150 Euro/kWh,HP,October,12
2,LFA,570000,176,1150 Euro/kWh,HP,October,12
3,LFA,570000,176,1150 Euro/kWh,HP,October,12
4,LFA,570000,176,1150 Euro/kWh,HP,October,12
5,LFA,570000,176,1150 Euro/kWh,HP,October,12
1,LE,350000,95,1150 Euro/kWh,HP,October,2
2,LE,350000,95,1150 Euro/kWh,HP,October,2
3,LE,350000,95,1150 Euro/kWh,HP,October,2
4,LE,350000,95,1150 Euro/kWh,HP,October,2
5,LE,350000,95,1150 Euro/kWh,HP,October,2
6,LE,350000,95,1150 Euro/kWh,HP,October,2
7,LE,350000,95,1150 Euro/kWh,HP,October,2
1,LE,350000,95,1150 Euro/kWh,HP,October,3
2,LE,350000,95,1150 Euro/kWh,HP,October,3
3,LE,350000,95,1150 Euro/kWh,HP,October,3
4,LE,350000,95,1150 Euro/kWh,HP,October,3
5,LE,350000,95,1150 Euro/kWh,HP,October,3
6,LE,350000,95,1150 Euro/kWh,HP,October,3
7,LE,350000,95,1150 Euro/kWh,HP,October,3
8,LE,350000,95,1150 Euro/kWh,HP,October,3
1,LE,350000,95,1150 Euro/kWh,HP,October,4
2,LE,350000,95,1150 Euro/kWh,HP,October,4
3,LE,350000,95,1150 Euro/kWh,HP,October,4
4,LE,350000,95,1150 Euro/kWh,HP,October,4
1,LE,350000,95,1150 Euro/kWh,HP,October,5
2,LE,350000,95,1150 Euro/kWh,HP,October,5
3,LE,350000,95,1150 Euro/kWh,HP,October,5
4,LE,350000,95,1150 Euro/kWh,HP,October,5
5,LE,350000,95,1150 Euro/kWh,HP,October,5
1,LE,350000,95,1150 Euro/kWh,HP,October,6
2,LE,350000,95,1150 Euro/kWh,HP,October,6
3,LE,350000,95,1150 Euro/kWh,HP,October,6
4,LE,350000,95,1150 Euro/kWh,HP,October,6
5,LE,350000,95,1150 Euro/kWh,HP,October,6
6,LE,350000,95,1150 Euro/kWh,HP,October,6
7,LE,350000,95,1150 Euro/kWh,HP,October,6
8,LE,350000,95,1150 Euro/kWh,HP,October,6
9,LE,350000,95,1150 Euro/kWh,HP,October,6
1,LFA,570000,176,1150 Euro/kWh,HP,October,7
2,LFA,570000,176,1150 Euro/kWh,HP,October,7
3,LFA,570000,176,1150 Euro/kWh,HP,October,7
4,LFA,570000,176,1150 Euro/kWh,HP,October,7
5,LFA,570000,176,1150 Euro/kWh,HP,October,7
6,LFA,570000,176,1150 Euro/kWh,HP,October,7
7,LFA,570000,176,1150 Euro/kWh,HP,October,7
1,LFA,570000,176,1150 Euro/kWh,HP,October,8
2,LFA,570000,176,1150 Euro/kWh,HP,October,8
3,LFA,570000,176,1150 Euro/kWh,HP,October,8
4,LFA,570000,176,1150 Euro/kWh,HP,October,8
5,LFA,570000,176,1150 Euro/kWh,HP,October,8
6,LFA,570000,176,1150 Euro/kWh,HP,October,8
1,LE,350000,95,1150 Euro/kWh,HP,October,9
2,LE,350000,95,1150 Euro/kWh,HP,October,9
3,LE,350000,95,1150 Euro/kWh,HP,October,9
4,LE,350000,95,1150 Euro/kWh,HP,October,9
5,LE,350000,95,1150 Euro/kWh,HP,October,9
1,LFA,570000,176,1150 Euro/kWh,HP,October,10
2,LFA,570000,176,1150 Euro/kWh,HP,October,10
3,LFA,570000,176,1150 Euro/kWh,HP,October,10
4,LFA,570000,176,1150 Euro/kWh,HP,October,10
5,LFA,570000,176,1150 Euro/kWh,HP,October,10
1,LE,350000,95,1150 Euro/kWh,HP,January,1
2,LE,350000,95,1150 Euro/kWh,HP,January,1
3,LE,350000,95,1150 Euro/kWh,HP,January,1
4,LE,350000,95,1150 Euro/kWh,HP,January,1
5,LE,350000,95,1150 Euro/kWh,HP,January,1
6,LE,350000,95,1150 Euro/kWh,HP,January,1
7,LE,350000,95,1150 Euro/kWh,HP,January,1
8,LE,350000,95,1150 Euro/kWh,HP,January,1
9,LE,350000,95,1150 Euro/kWh,HP,January,1
1,LE,350000,95,1150 Euro/kWh,HP,January,11
2,LE,350000,95,1150 Euro/kWh,HP,January,11
3,LE,350000,95,1150 Euro/kWh,HP,January,11
4,LE,350000,95,1150 Euro/kWh,HP,January,11
5,LE,350000,95,1150 Euro/kWh,HP,January,11
1,LE,350000,95,1150 Euro/kWh,HP,November,1
2,LE,350000,95,1150 Euro/kWh,HP,November,1
3,LE,350000,95,1150 Euro/kWh,HP,November,1
4,LE,350000,95,1150 Euro/kWh,HP,November,1
5,LE,350000,95,1150 Euro/kWh,HP,November,1
6,LE,350000,95,1150 Euro/kWh,HP,November,1
7,LE,350000,95,1150 Euro/kWh,HP,November,1
8,LE,350000,95,1150 Euro/kWh,HP,November,1
9,LE,350000,95,1150 Euro/kWh,HP,November,1
1,LE,350000,95,1150 Euro/kWh,HP,November,11
2,LE,350000,95,1150 Euro/kWh,HP,November,11
3,LE,350000,95,1150 Euro/kWh,HP,November,11
4,LE,350000,95,1150 Euro/kWh,HP,November,11
5,LE,350000,95,1150 Euro/kWh,HP,November,11
1,LFA,570000,176,1150 Euro/kWh,HP,November,12
2,LFA,570000,176,1150 Euro/kWh,HP,November,12
3,LFA,570000,176,1150 Euro/kWh,HP,November,12
4,LFA,570000,176,1150 Euro/kWh,HP,November,12
5,LFA,570000,176,1150 Euro/kWh,HP,November,12
1,LFA,570000,176,1150 Euro/kWh,HP,January,12
2,LFA,570000,176,1150 Euro/kWh,HP,January,12
3,LFA,570000,176,1150 Euro/kWh,HP,January,12
4,LFA,570000,176,1150 Euro/kWh,HP,January,12
5,LFA,570000,176,1150 Euro/kWh,HP,January,12
1,LE,350000,95,1150 Euro/kWh,HP,November,2
2,LE,350000,95,1150 Euro/kWh,HP,November,2
3,LE,350000,95,1150 Euro/kWh,HP,November,2
4,LE,350000,95,1150 Euro/kWh,HP,November,2
5,LE,350000,95,1150 Euro/kWh,HP,November,2
6,LE,350000,95,1150 Euro/kWh,HP,November,2
7,LE,350000,95,1150 Euro/kWh,HP,November,2
1,LE,350000,95,1150 Euro/kWh,HP,November,3
2,LE,350000,95,1150 Euro/kWh,HP,November,3
3,LE,350000,95,1150 Euro/kWh,HP,November,3
4,LE,350000,95,1150 Euro/kWh,HP,November,3
5,LE,350000,95,1150 Euro/kWh,HP,November,3
6,LE,350000,95,1150 Euro/kWh,HP,November,3
7,LE,350000,95,1150 Euro/kWh,HP,November,3
8,LE,350000,95,1150 Euro/kWh,HP,November,3
1,LE,350000,95,1150 Euro/kWh,HP,November,4
2,LE,350000,95,1150 Euro/kWh,HP,November,4
3,LE,350000,95,1150 Euro/kWh,HP,November,4
4,LE,350000,95,1150 Euro/kWh,HP,November,4
1,LE,350000,95,1150 Euro/kWh,HP,November,5
2,LE,350000,95,1150 Euro/kWh,HP,November,5
3,LE,350000,95,1150 Euro/kWh,HP,November,5
4,LE,350000,95,1150 Euro/kWh,HP,November,5
5,LE,350000,95,1150 Euro/kWh,HP,November,5
1,LE,350000,95,1150 Euro/kWh,HP,November,6
2,LE,350000,95,1150 Euro/kWh,HP,November,6
3,LE,350000,95,1150 Euro/kWh,HP,November,6
4,LE,350000,95,1150 Euro/kWh,HP,November,6
5,LE,350000,95,1150 Euro/kWh,HP,November,6
6,LE,350000,95,1150 Euro/kWh,HP,November,6
7,LE,350000,95,1150 Euro/kWh,HP,November,6
8,LE,350000,95,1150 Euro/kWh,HP,November,6
9,LE,350000,95,1150 Euro/kWh,HP,November,6
1,LFA,570000,176,1150 Euro/kWh,HP,November,7
2,LFA,570000,176,1150 Euro/kWh,HP,November,7
3,LFA,570000,176,1150 Euro/kWh,HP,November,7
4,LFA,570000,176,1150 Euro/kWh,HP,November,7
5,LFA,570000,176,1150 Euro/kWh,HP,November,7
6,LFA,570000,176,1150 Euro/kWh,HP,November,7
7,LFA,570000,176,1150 Euro/kWh,HP,November,7
1,LFA,570000,176,1150 Euro/kWh,HP,November,8
2,LFA,570000,176,1150 Euro/kWh,HP,November,8
3,LFA,570000,176,1150 Euro/kWh,HP,November,8
4,LFA,570000,176,1150 Euro/kWh,HP,November,8
5,LFA,570000,176,1150 Euro/kWh,HP,November,8
6,LFA,570000,176,1150 Euro/kWh,HP,November,8
1,LE,350000,95,1150 Euro/kWh,HP,November,9
2,LE,350000,95,1150 Euro/kWh,HP,November,9
3,LE,350000,95,1150 Euro/kWh,HP,November,9
4,LE,350000,95,1150 Euro/kWh,HP,November,9
5,LE,350000,95,1150 Euro/kWh,HP,November,9
1,LFA,570000,176,1150 Euro/kWh,HP,November,10
2,LFA,570000,176,1150 Euro/kWh,HP,November,10
3,LFA,570000,176,1150 Euro/kWh,HP,November,10
4,LFA,570000,176,1150 Euro/kWh,HP,November,10
5,LFA,570000,176,1150 Euro/kWh,HP,November,10
1,LE,350000,95,1150 Euro/kWh,HP,January,2
2,LE,350000,95,1150 Euro/kWh,HP,January,2
3,LE,350000,95,1150 Euro/kWh,HP,January,2
4,LE,350000,95,1150 Euro/kWh,HP,January,2
5,LE,350000,95,1150 Euro/kWh,HP,January,2
6,LE,350000,95,1150 Euro/kWh,HP,January,2
7,LE,350000,95,1150 Euro/kWh,HP,January,2
1,LE,350000,95,1150 Euro/kWh,HP,December,1
2,LE,350000,95,1150 Euro/kWh,HP,December,1
3,LE,350000,95,1150 Euro/kWh,HP,December,1
4,LE,350000,95,1150 Euro/kWh,HP,December,1
5,LE,350000,95,1150 Euro/kWh,HP,December,1
6,LE,350000,95,1150 Euro/kWh,HP,December,1
7,LE,350000,95,1150 Euro/kWh,HP,December,1
8,LE,350000,95,1150 Euro/kWh,HP,December,1
9,LE,350000,95,1150 Euro/kWh,HP,December,1
1,LE,350000,95,1150 Euro/kWh,HP,December,11
2,LE,350000,95,1150 Euro/kWh,HP,December,11
3,LE,350000,95,1150 Euro/kWh,HP,December,11
4,LE,350000,95,1150 Euro/kWh,HP,December,11
5,LE,350000,95,1150 Euro/kWh,HP,December,11
1,LFA,570000,176,1150 Euro/kWh,HP,December,12
2,LFA,570000,176,1150 Euro/kWh,HP,December,12
3,LFA,570000,176,1150 Euro/kWh,HP,December,12
4,LFA,570000,176,1150 Euro/kWh,HP,December,12
5,LFA,570000,176,1150 Euro/kWh,HP,December,12
1,LE,350000,95,1150 Euro/kWh,HP,December,2
2,LE,350000,95,1150 Euro/kWh,HP,December,2
3,LE,350000,95,1150 Euro/kWh,HP,December,2
4,LE,350000,95,1150 Euro/kWh,HP,December,2
5,LE,350000,95,1150 Euro/kWh,HP,December,2
6,LE,350000,95,1150 Euro/kWh,HP,December,2
7,LE,350000,95,1150 Euro/kWh,HP,December,2
1,LE,350000,95,1150 Euro/kWh,HP,December,3
2,LE,350000,95,1150 Euro/kWh,HP,December,3
3,LE,350000,95,1150 Euro/kWh,HP,December,3
4,LE,350000,95,1150 Euro/kWh,HP,December,3
5,LE,350000,95,1150 Euro/kWh,HP,December,3
6,LE,350000,95,1150 Euro/kWh,HP,December,3
7,LE,350000,95,1150 Euro/kWh,HP,December,3
8,LE,350000,95,1150 Euro/kWh,HP,December,3
1,LE,350000,95,1150 Euro/kWh,HP,December,4
2,LE,350000,95,1150 Euro/kWh,HP,December,4
3,LE,350000,95,1150 Euro/kWh,HP,December,4
4,LE,350000,95,1150 Euro/kWh,HP,December,4
1,LE,350000,95,1150 Euro/kWh,HP,December,5
2,LE,350000,95,1150 Euro/kWh,HP,December,5
3,LE,350000,95,1150 Euro/kWh,HP,December,5
4,LE,350000,95,1150 Euro/kWh,HP,December,5
5,LE,350000,95,1150 Euro/kWh,HP,December,5
1,LE,350000,95,1150 Euro/kWh,HP,December,6
2,LE,350000,95,1150 Euro/kWh,HP,December,6
3,LE,350000,95,1150 Euro/kWh,HP,December,6
4,LE,350000,95,1150 Euro/kWh,HP,December,6
5,LE,350000,95,1150 Euro/kWh,HP,December,6
6,LE,350000,95,1150 Euro/kWh,HP,December,6
7,LE,350000,95,1150 Euro/kWh,HP,December,6
8,LE,350000,95,1150 Euro/kWh,HP,December,6
9,LE,350000,95,1150 Euro/kWh,HP,December,6
1,LFA,570000,176,1150 Euro/kWh,HP,December,7
2,LFA,570000,176,1150 Euro/kWh,HP,December,7
3,LFA,570000,176,1150 Euro/kWh,HP,December,7
4,LFA,570000,176,1150 Euro/kWh,HP,December,7
5,LFA,570000,176,1150 Euro/kWh,HP,December,7
6,LFA,570000,176,1150 Euro/kWh,HP,December,7
7,LFA,570000,176,1150 Euro/kWh,HP,December,7
1,LFA,570000,176,1150 Euro/kWh,HP,December,8
2,LFA,570000,176,1150 Euro/kWh,HP,December,8
3,LFA,570000,176,1150 Euro/kWh,HP,December,8
4,LFA,570000,176,1150 Euro/kWh,HP,December,8
5,LFA,570000,176,1150 Euro/kWh,HP,December,8
6,LFA,570000,176,1150 Euro/kWh,HP,December,8
1,LE,350000,95,1150 Euro/kWh,HP,December,9
2,LE,350000,95,1150 Euro/kWh,HP,December,9
3,LE,350000,95,1150 Euro/kWh,HP,December,9
4,LE,350000,95,1150 Euro/kWh,HP,December,9
5,LE,350000,95,1150 Euro/kWh,HP,December,9
1,LFA,570000,176,1150 Euro/kWh,HP,December,10
2,LFA,570000,176,1150 Euro/kWh,HP,December,10
3,LFA,570000,176,1150 Euro/kWh,HP,December,10
4,LFA,570000,176,1150 Euro/kWh,HP,December,10
5,LFA,570000,176,1150 Euro/kWh,HP,December,10
1,LE,350000,95,1150 Euro/kWh,HP,January,3
2,LE,350000,95,1150 Euro/kWh,HP,January,3
3,LE,350000,95,1150 Euro/kWh,HP,January,3
4,LE,350000,95,1150 Euro/kWh,HP,January,3
5,LE,350000,95,1150 Euro/kWh,HP,January,3
6,LE,350000,95,1150 Euro/kWh,HP,January,3
7,LE,350000,95,1150 Euro/kWh,HP,January,3
8,LE,350000,95,1150 Euro/kWh,HP,January,3
1,LE,350000,95,1150 Euro/kWh,HP,January,4
2,LE,350000,95,1150 Euro/kWh,HP,January,4
3,LE,350000,95,1150 Euro/kWh,HP,January,4
4,LE,350000,95,1150 Euro/kWh,HP,January,4
1,LE,350000,95,1150 Euro/kWh,HP,January,5
2,LE,350000,95,1150 Euro/kWh,HP,January,5
3,LE,350000,95,1150 Euro/kWh,HP,January,5
4,LE,350000,95,1150 Euro/kWh,HP,January,5
5,LE,350000,95,1150 Euro/kWh,HP,January,5
1,LE,350000,95,1150 Euro/kWh,HP,January,6
2,LE,350000,95,1150 Euro/kWh,HP,January,6
3,LE,350000,95,1150 Euro/kWh,HP,January,6
4,LE,350000,95,1150 Euro/kWh,HP,January,6
5,LE,350000,95,1150 Euro/kWh,HP,January,6
6,LE,350000,95,1150 Euro/kWh,HP,January,6
7,LE,350000,95,1150 Euro/kWh,HP,January,6
8,LE,350000,95,1150 Euro/kWh,HP,January,6
9,LE,350000,95,1150 Euro/kWh,HP,January,6
1,LFA,570000,176,1150 Euro/kWh,HP,January,7
2,LFA,570000,176,1150 Euro/kWh,HP,January,7
3,LFA,570000,176,1150 Euro/kWh,HP,January,7
4,LFA,570000,176,1150 Euro/kWh,HP,January,7
5,LFA,570000,176,1150 Euro/kWh,HP,January,7
6,LFA,570000,176,1150 Euro/kWh,HP,January,7
7,LFA,570000,176,1150 Euro/kWh,HP,January,7
1,LFA,570000,176,1150 Euro/kWh,HP,January,8
2,LFA,570000,176,1150 Euro/kWh,HP,January,8
3,LFA,570000,176,1150 Euro/kWh,HP,January,8
4,LFA,570000,176,1150 Euro/kWh,HP,January,8
5,LFA,570000,176,1150 Euro/kWh,HP,January,8
6,LFA,570000,176,1150 Euro/kWh,HP,January,8
1,LE,350000,95,1150 Euro/kWh,HP,January,9
2,LE,350000,95,1150 Euro/kWh,HP,January,9
3,LE,350000,95,1150 Euro/kWh,HP,January,9
4,LE,350000,95,1150 Euro/kWh,HP,January,9
5,LE,350000,95,1150 Euro/kWh,HP,January,9
1,LFA,570000,176,1150 Euro/kWh,HP,January,10
2,LFA,570000,176,1150 Euro/kWh,HP,January,10
3,LFA,570000,176,1150 Euro/kWh,HP,January,10
4,LFA,570000,176,1150 Euro/kWh,HP,January,10
5,LFA,570000,176,1150 Euro/kWh,HP,January,10
1,LE,350000,95,1150 Euro/kWh,HP,February,1
2,LE,350000,95,1150 Euro/kWh,HP,February,1
3,LE,350000,95,1150 Euro/kWh,HP,February,1
4,LE,350000,95,1150 Euro/kWh,HP,February,1
5,LE,350000,95,1150 Euro/kWh,HP,February,1
6,LE,350000,95,1150 Euro/kWh,HP,February,1
7,LE,350000,95,1150 Euro/kWh,HP,February,1
