Bus,Bus Type,Bus Cost,Passengers,Battery Cost,Battery Type,Month,Route
1,LE,350000,95,1150 Euro/kWh,HP,June,4
2,LE,350000,95,1150 Euro/kWh,HP,June,4
3,LE,350000,95,1150 Euro/kWh,HP,June,4
4,LE,350000,95,1150 Euro/kWh,HP,June,4
1,LE,350000,95,1150 Euro/kWh,HP,June,5
2,LE,350000,95,1150 Euro/kWh,HP,June,5
3,LE,350000,95,1150 Euro/kWh,HP,June,5
4,LE,350000,95,1150 Euro/kWh,HP,June,5
5,LE,350000,95,1150 Euro/kWh,HP,June,5
1,LE,350000,95,1150 Euro/kWh,HP,June,6
2,LE,350000,95,1150 Euro/kWh,HP,June,6
3,LE,350000,95,1150 Euro/kWh,HP,June,6
4,LE,350000,95,1150 Euro/kWh,HP,June,6
5,LE,350000,95,1150 Euro/kWh,HP,June,6
6,LE,350000,95,1150 Euro/kWh,HP,June,6
7,LE,350000,95,1150 Euro/kWh,HP,June,6
8,LE,350000,95,1150 Euro/kWh,HP,June,6
9,LE,350000,95,1150 Euro/kWh,HP,June,6
1,LFA,570000,176,1150 Euro/kWh,HP,June,7
2,LFA,570000,176,1150 Euro/kWh,HP,June,7
3,LFA,570000,176,1150 Euro/kWh,HP,June,7
4,LFA,570000,176,1150 Euro/kWh,HP,June,7
5,LFA,570000,176,1150 Euro/kWh,HP,June,7
6,LFA,570000,176,1150 Euro/kWh,HP,June,7
7,LFA,570000,176,1150 Euro/kWh,HP,June,7
1,LFA,570000,176,1150 Euro/kWh,HP,June,8
2,LFA,570000,176,1150 Euro/kWh,HP,June,8
3,LFA,570000,176,1150 Euro/kWh,HP,June,8
4,LFA,570000,176,1150 Euro/kWh,HP,June,8
5,LFA,570000,176,1150 Euro/kWh,HP,June,8
6,LFA,570000,176,1150 Euro/kWh,HP,June,8
1,LE,350000,95,1150 Euro/kWh,HP,June,9
2,LE,350000,95,1150 Euro/kWh,HP,June,9
3,LE,350000,95,1150 Euro/kWh,HP,June,9
4,LE,350000,95,1150 Euro/kWh,HP,June,9
5,LE,350000,95,1150 Euro/kWh,HP,June,9
1,LFA,570000,176,1150 Euro/kWh,HP,June,10
2,LFA,570000,176,1150 Euro/kWh,HP,June,10
3,LFA,570000,176,1150 Euro/kWh,HP,June,10
4,LFA,570000,176,1150 Euro/kWh,HP,June,10
5,LFA,570000,176,1150 Euro/kWh,HP,June,10
1,LE,350000,95,1150 Euro/kWh,HP,July,1
2,LE,350000,95,1150 Euro/kWh,HP,July,1
3,LE,350000,95,1150 Euro/kWh,HP,July,1
4,LE,350000,95,1150 Euro/kWh,HP,July,1
5,LE,350000,95,1150 Euro/kWh,HP,July,1
6,LE,350000,95,1150 Euro/kWh,HP,July,1
7,LE,350000,95,1150 Euro/kWh,HP,July,1
8,LE,350000,95,1150 Euro/kWh,HP,July,1
9,LE,350000,95,1150 Euro/kWh,HP,July,1
1,LE,350000,95,1150 Euro/kWh,HP,July,11
2,LE,350000,95,1150 Euro/kWh,HP,July,11
3,LE,350000,95,1150 Euro/kWh,HP,July,11
4,LE,350000,95,1150 Euro/kWh,HP,July,11
5,LE,350000,95,1150 Euro/kWh,HP,July,11
1,LFA,570000,176,1150 Euro/kWh,HP,July,12
2,LFA,570000,176,1150 Euro/kWh,HP,July,12
3,LFA,570000,176,1150 Euro/kWh,HP,July,12
4,LFA,570000,176,1150 Euro/kWh,HP,July,12
5,LFA,570000,176,1150 Euro/kWh,HP,July,12
1,LE,350000,95,1150 Euro/kWh,HP,July,2
2,LE,350000,95,1150 Euro/kWh,HP,July,2
3,LE,350000,95,1150 Euro/kWh,HP,July,2
4,LE,350000,95,1150 Euro/kWh,HP,July,2
5,LE,350000,95,1150 Euro/kWh,HP,July,2
6,LE,350000,95,1150 Euro/kWh,HP,July,2
7,LE,350000,95,1150 Euro/kWh,HP,July,2
1,LE,350000,95,1150 Euro/kWh,HP,July,3
2,LE,350000,95,1150 Euro/kWh,HP,July,3
3,LE,350000,95,1150 Euro/kWh,HP,July,3
4,LE,350000,95,1150 Euro/kWh,HP,July,3
5,LE,350000,95,1150 Euro/kWh,HP,July,3
6,LE,350000,95,1150 Euro/kWh,HP,July,3
7,LE,350000,95,1150 Euro/kWh,HP,July,3
8,LE,350000,95,1150 Euro/kWh,HP,July,3
1,LE,350000,95,1150 Euro/kWh,HP,July,4
2,LE,350000,95,1150 Euro/kWh,HP,July,4
3,LE,350000,95,1150 Euro/kWh,HP,July,4
4,LE,350000,95,1150 Euro/kWh,HP,July,4
1,LE,350000,95,1150 Euro/kWh,HP,July,5
2,LE,350000,95,1150 Euro/kWh,HP,July,5
3,LE,350000,95,1150 Euro/kWh,HP,July,5
4,LE,350000,95,1150 Euro/kWh,HP,July,5
5,LE,350000,95,1150 Euro/kWh,HP,July,5
1,LE,350000,95,1150 Euro/kWh,HP,July,6
2,LE,350000,95,1150 Euro/kWh,HP,July,6
3,LE,350000,95,1150 Euro/kWh,HP,July,6
4,LE,350000,95,1150 Euro/kWh,HP,July,6
5,LE,350000,95,1150 Euro/kWh,HP,July,6
6,LE,350000,95,1150 Euro/kWh,HP,July,6
7,LE,350000,95,1150 Euro/kWh,HP,July,6
8,LE,350000,95,1150 Euro/kWh,HP,July,6
9,LE,350000,95,1150 Euro/kWh,HP,July,6
1,LFA,570000,176,1150 Euro/kWh,HP,July,7
2,LFA,570000,176,1150 Euro/kWh,HP,July,7
3,LFA,570000,176,1150 Euro/kWh,HP,July,7
4,LFA,570000,176,1150 Euro/kWh,HP,July,7
5,LFA,570000,176,1150 Euro/kWh,HP,July,7
6,LFA,570000,176,1150 Euro/kWh,HP,July,7
7,LFA,570000,176,1150 Euro/kWh,HP,July,7
1,LFA,570000,176,1150 Euro/kWh,HP,July,8
2,LFA,570000,176,1150 Euro/kWh,HP,July,8
3,LFA,570000,176,1150 Euro/kWh,HP,July,8
4,LFA,570000,176,1150 Euro/kWh,HP,July,8
5,LFA,570000,176,1150 Euro/kWh,HP,July,8
6,LFA,570000,176,1150 Euro/kWh,HP,July,8
1,LE,350000,95,1150 Euro/kWh,HP,July,9
2,LE,350000,95,1150 Euro/kWh,HP,July,9
3,LE,350000,95,1150 Euro/kWh,HP,July,9
4,LE,350000,95,1150 Euro/kWh,HP,July,9
5,LE,350000,95,1150 Euro/kWh,HP,July,9
1,LFA,570000,176,1150 Euro/kWh,HP,July,10
2,LFA,570000,176,1150 Euro/kWh,HP,July,10
3,LFA,570000,176,1150 Euro/kWh,HP,July,10
4,LFA,570000,176,1150 Euro/kWh,HP,July,10
5,LFA,570000,176,1150 Euro/kWh,HP,July,10
1,LE,350000,95,1150 Euro/kWh,HP,August,1
2,LE,350000,95,1150 Euro/kWh,HP,August,1
3,LE,350000,95,1150 Euro/kWh,HP,August,1
4,LE,350000,95,1150 Euro/kWh,HP,August,1
5,LE,350000,95,1150 Euro/kWh,HP,August,1
6,LE,350000,95,1150 Euro/kWh,HP,August,1
7,LE,350000,95,1150 Euro/kWh,HP,August,1
8,LE,350000,95,1150 Euro/kWh,HP,August,1
9,LE,350000,95,1150 Euro/kWh,HP,August,1
1,LE,350000,95,1150 Euro/kWh,HP,August,11
2,LE,350000,95,1150 Euro/kWh,HP,August,11
3,LE,350000,95,1150 Euro/kWh,HP,August,11
4,LE,350000,95,1150 Euro/kWh,HP,August,11
5,LE,350000,95,1150 Euro/kWh,HP,August,11
1,LFA,570000,176,1150 Euro/kWh,HP,August,12
2,LFA,570000,176,1150 Euro/kWh,HP,August,12
3,LFA,570000,176,1150 Euro/kWh,HP,August,12
4,LFA,570000,176,1150 Euro/kWh,HP,August,12
5,LFA,570000,176,1150 Euro/kWh,HP,August,12
1,LE,350000,95,1150 Euro/kWh,HP,August,2
2,LE,350000,95,1150 Euro/kWh,HP,August,2
3,LE,350000,95,1150 Euro/kWh,HP,August,2
4,LE,350000,95,1150 Euro/kWh,HP,August,2
5,LE,350000,95,1150 Euro/kWh,HP,August,2
6,LE,350000,95,1150 Euro/kWh,HP,August,2
7,LE,350000,95,1150 Euro/kWh,HP,August,2
1,LE,350000,95,1150 Euro/kWh,HP,August,3
2,LE,350000,95,1150 Euro/kWh,HP,August,3
3,LE,350000,95,1150 Euro/kWh,HP,August,3
4,LE,350000,95,1150 Euro/kWh,HP,August,3
5,LE,350000,95,1150 Euro/kWh,HP,August,3
6,LE,350000,95,1150 Euro/kWh,HP,August,3
7,LE,350000,95,1150 Euro/kWh,HP,August,3
8,LE,350000,95,1150 Euro/kWh,HP,August,3
1,LE,350000,95,1150 Euro/kWh,HP,August,4
2,LE,350000,95,1150 Euro/kWh,HP,August,4
3,LE,350000,95,1150 Euro/kWh,HP,August,4
4,LE,350000,95,1150 Euro/kWh,HP,August,4
1,LE,350000,95,1150 Euro/kWh,HP,August,5
2,LE,350000,95,1150 Euro/kWh,HP,August,5
3,LE,350000,95,1150 Euro/kWh,HP,August,5
4,LE,350000,95,1150 Euro/kWh,HP,August,5
5,LE,350000,95,1150 Euro/kWh,HP,August,5
1,LE,350000,95,1150 Euro/kWh,HP,August,6
2,LE,350000,95,1150 Euro/kWh,HP,August,6
3,LE,350000,95,1150 Euro/kWh,HP,August,6
4,LE,350000,95,1150 Euro/kWh,HP,August,6
5,LE,350000,95,1150 Euro/kWh,HP,August,6
6,LE,350000,95,1150 Euro/kWh,HP,August,6
7,LE,350000,95,1150 Euro/kWh,HP,August,6
8,LE,350000,95,1150 Euro/kWh,HP,August,6
9,LE,350000,95,1150 Euro/kWh,HP,August,6
1,LFA,570000,176,1150 Euro/kWh,HP,August,7
2,LFA,570000,176,1150 Euro/kWh,HP,August,7
3,LFA,570000,176,1150 Euro/kWh,HP,August,7
4,LFA,570000,176,1150 Euro/kWh,HP,August,7
5,LFA,570000,176,1150 Euro/kWh,HP,August,7
6,LFA,570000,176,1150 Euro/kWh,HP,August,7
7,LFA,570000,176,1150 Euro/kWh,HP,August,7
1,LFA,570000,176,1150 Euro/kWh,HP,August,8
2,LFA,570000,176,1150 Euro/kWh,HP,August,8
3,LFA,570000,176,1150 Euro/kWh,HP,August,8
4,LFA,570000,176,1150 Euro/kWh,HP,August,8
5,LFA,570000,176,1150 Euro/kWh,HP,August,8
6,LFA,570000,176,1150 Euro/kWh,HP,August,8
1,LE,350000,95,1150 Euro/kWh,HP,August,9
2,LE,350000,95,1150 Euro/kWh,HP,August,9
3,LE,350000,95,1150 Euro/kWh,HP,August,9
4,LE,350000,95,1150 Euro/kWh,HP,August,9
5,LE,350000,95,1150 Euro/kWh,HP,August,9
1,LFA,570000,176,1150 Euro/kWh,HP,August,10
2,LFA,570000,176,1150 Euro/kWh,HP,August,10
3,LFA,570000,176,1150 Euro/kWh,HP,August,10
4,LFA,570000,176,1150 Euro/kWh,HP,August,10
5,LFA,570000,176,1150 Euro/kWh,HP,August,10
1,LE,350000,95,1150 Euro/kWh,HP,September,1
2,LE,350000,95,1150 Euro/kWh,HP,September,1
3,LE,350000,95,1150 Euro/kWh,HP,September,1
4,LE,350000,95,1150 Euro/kWh,HP,September,1
5,LE,350000,95,1150 Euro/kWh,HP,September,1
6,LE,350000,95,1150 Euro/kWh,HP,September,1
7,LE,350000,95,1150 Euro/kWh,HP,September,1
8,LE,350000,95,1150 Euro/kWh,HP,September,1
9,LE,350000,95,1150 Euro/kWh,HP,September,1
1,LE,350000,95,1150 Euro/kWh,HP,September,11
2,LE,350000,95,1150 Euro/kWh,HP,September,11
3,LE,350000,95,1150 Euro/kWh,HP,September,11
4,LE,350000,95,1150 Euro/kWh,HP,September,11
5,LE,350000,95,1150 Euro/kWh,HP,September,11
1,LFA,570000,176,1150 Euro/kWh,HP,September,12
2,LFA,570000,176,1150 Euro/kWh,HP,September,12
3,LFA,570000,176,1150 Euro/kWh,HP,September,12
4,LFA,570000,176,1150 Euro/kWh,HP,September,12
5,LFA,570000,176,1150 Euro/kWh,HP,September,12
1,LE,350000,95,1150 Euro/kWh,HP,September,2
2,LE,350000,95,1150 Euro/kWh,HP,September,2
3,LE,350000,95,1150 Euro/kWh,HP,September,2
4,LE,350000,95,1150 Euro/kWh,HP,September,2
5,LE,350000,95,1150 Euro/kWh,HP,September,2
6,LE,350000,95,1150 Euro/kWh,HP,September,2
7,LE,350000,95,1150 Euro/kWh,HP,September,2
1,LE,350000,95,1150 Euro/kWh,HP,September,3
2,LE,350000,95,1150 Euro/kWh,HP,September,3
3,LE,350000,95,1150 Euro/kWh,HP,September,3
4,LE,350000,95,1150 Euro/kWh,HP,September,3
5,LE,350000,95,1150 Euro/kWh,HP,September,3
6,LE,350000,95,1150 Euro/kWh,HP,September,3
7,LE,350000,95,1150 Euro/kWh,HP,September,3
8,LE,350000,95,1150 Euro/kWh,HP,September,3
1,LE,350000,95,1150 Euro/kWh,HP,September,4
2,LE,350000,95,1150 Euro/kWh,HP,September,4
3,LE,350000,95,1150 Euro/kWh,HP,September,4
4,LE,350000,95,1150 Euro/kWh,HP,September,4
1,LE,350000,95,1150 Euro/kWh,HP,September,5
2,LE,350000,95,1150 Euro/kWh,HP,September,5
3,LE,350000,95,1150 Euro/kWh,HP,September,5
4,LE,350000,95,1150 Euro/kWh,HP,September,5
5,LE,350000,95,1150 Euro/kWh,HP,September,5
1,LE,350000,95,1150 Euro/kWh,HP,September,6
2,LE,350000,95,1150 Euro/kWh,HP,September,6
3,LE,350000,95,1150 Euro/kWh,HP,September,6
4,LE,350000,95,1150 Euro/kWh,HP,September,6
5,LE,350000,95,1150 Euro/kWh,HP,September,6
6,LE,350000,95,1150 Euro/kWh,HP,September,6
7,LE,350000,95,1150 Euro/kWh,HP,September,6
8,LE,350000,95,1150 Euro/kWh,HP,September,6
9,LE,350000,95,1150 Euro/kWh,HP,September,6
1,LFA,570000,176,1150 Euro/kWh,HP,September,7
2,LFA,570000,176,1150 Euro/kWh,HP,September,7
3,LFA,570000,176,1150 Euro/kWh,HP,September,7
4,LFA,570000,176,1150 Euro/kWh,HP,September,7
5,LFA,570000,176,1150 Euro/kWh,HP,September,7
6,LFA,570000,176,1150 Euro/kWh,HP,September,7
7,LFA,570000,176,1150 Euro/kWh,HP,September,7
1,LFA,570000,176,1150 Euro/kWh,HP,September,8
2,LFA,570000,176,1150 Euro/kWh,HP,September,8
3,LFA,570000,176,1150 Euro/kWh,HP,September,8
4,LFA,570000,176,1150 Euro/kWh,HP,September,8
5,LFA,570000,176,1150 Euro/kWh,HP,September,8
6,LFA,570000,176,1150 Euro/kWh,HP,September,8
1,LE,350000,95,1150 Euro/kWh,HP,September,9
2,LE,350000,95,1150 Euro/kWh,HP,September,9
3,LE,350000,95,1150 Euro/kWh,HP,September,9
4,LE,350000,95,1150 Euro/kWh,HP,September,9
5,LE,350000,95,1150 Euro/kWh,HP,September,9
1,LFA,570000,176,1150 Euro/kWh,HP,September,10
2,LFA,570000,176,1150 Euro/kWh,HP,September,10
3,LFA,570000,176,1150 Euro/kWh,HP,September,10
4,LFA,570000,176,1150 Euro/kWh,HP,September,10
5,LFA,570000,176,1150 Euro/kWh,HP,September,10
1,LE,350000,95,1150 Euro/kWh,HP,August,11
2,LE,350000,95,1150 Euro/kWh,HP,August,11
3,LE,350000,95,1150 Euro/kWh,HP,August,11
4,LE,350000,95,1150 Euro/kWh,HP,August,11
1,LFA,570000,176,1150 Euro/kWh,HP,August,12
2,LFA,570000,176,1150 Euro/kWh,HP,August,12
3,LFA,570000,176,1150 Euro/kWh,HP,August,12
4,LFA,570000,176,1150 Euro/kWh,HP,August,12
1,LE,350000,95,1150 Euro/kWh,HP,August,2
2,LE,350000,95,1150 Euro/kWh,HP,August,2
3,LE,350000,95,1150 Euro/kWh,HP,August,2
4,LE,350000,95,1150 Euro/kWh,HP,August,2
5,LE,350000,95,1150 Euro/kWh,HP,August,2
6,LE,350000,95,1150 Euro/kWh,HP,August,2
1,LE,350000,95,1150 Euro/kWh,HP,August,3
2,LE,350000,95,1150 Euro/kWh,HP,August,3
3,LE,350000,95,1150 Euro/kWh,HP,August,3
4,LE,350000,95,1150 Euro/kWh,HP,August,3
5,LE,350000,95,1150 Euro/kWh,HP,August,3
6,LE,350000,95,1150 Euro/kWh,HP,August,3
7,LE,350000,95,1150 Euro/kWh,HP,August,3
1,LE,350000,95,1150 Euro/kWh,HP,August,4
2,LE,350000,95,1150 Euro/kWh,HP,August,4
3,LE,350000,95,1150 Euro/kWh,HP,August,4
1,LE,350000,95,1150 Euro/kWh,HP,August,5
2,LE,350000,95,1150 Euro/kWh,HP,August,5
3,LE,350000,95,1150 Euro/kWh,HP,August,5
4,LE,350000,95,1150 Euro/kWh,HP,August,5
1,LE,350000,95,1150 Euro/kWh,HP,August,6
2,LE,350000,95,1150 Euro/kWh,HP,August,6
3,LE,350000,95,1150 Euro/kWh,HP,August,6
4,LE,350000,95,1150 Euro/kWh,HP,August,6
5,LE,350000,95,1150 Euro/kWh,HP,August,6
6,LE,350000,95,1150 Euro/kWh,HP,August,6
7,LE,350000,95,1150 Euro/kWh,HP,August,6
8,LE,350000,95,1150 Euro/kWh,HP,August,6
1,LFA,570000,176,1150 Euro/kWh,HP,August,7
2,LFA,570000,176,1150 Euro/kWh,HP,August,7
3,LFA,570000,176,1150 Euro/kWh,HP,August,7
4,LFA,570000,176,1150 Euro/kWh,HP,August,7
5,LFA,570000,176,1150 Euro/kWh,HP,August,7
6,LFA,570000,176,1150 Euro/kWh,HP,August,7
1,LFA,570000,176,1150 Euro/kWh,HP,August,8
2,LFA,570000,176,1150 Euro/kWh,HP,August,8
3,LFA,570000,176,1150 Euro/kWh,HP,August,8
4,LFA,570000,176,1150 Euro/kWh,HP,August,8
5,LFA,570000,176,1150 Euro/kWh,HP,August,8
1,LE,350000,95,1150 Euro/kWh,HP,August,9
2,LE,350000,95,1150 Euro/kWh,HP,August,9
3,LE,350000,95,1150 Euro/kWh,HP,August,9
4,LE,350000,95,1150 Euro/kWh,HP,August,9
1,LFA,570000,176,1150 Euro/kWh,HP,August,10
2,LFA,570000,176,1150 Euro/kWh,HP,August,10
3,LFA,570000,176,1150 Euro/kWh,HP,August,10
4,LFA,570000,176,1150 Euro/kWh,HP,August,10
